time_hours,T_stable_K,t_cool_s,sigma_T_K,group_id
1110,81.37021932,296.2420763,0.7528439309999999,0
1120,81.38428002,296.27791410000003,0.7565070559999999,0
1130,81.39810236,296.3138577,0.7601701820000001,0
1140,81.41169038,296.34990760000005,0.7638333070000001,0
1150,81.42504806,296.38606410000006,0.7674964329999999,0
1160,81.4381793,296.4223275,0.771159558,0
1170,81.45108795,296.45869819999996,0.7748226840000001,0
1180,81.46377776,296.4951765,0.7784858090000001,0
1190,81.47625246,296.5317628,0.782148935,0
1200,81.48851569,296.5684575,0.78581206,0
1210,81.50057103,296.6052608,0.789475185,0
1220,81.51242201,296.64217310000004,0.793138311,0
1230,81.52407209999998,296.6791948,0.796801436,0
1240,81.53552469,296.71632630000005,0.800464562,0
1250,81.54678314,296.75356789999995,0.804127687,0
1260,81.55785073,296.79091989999995,0.807790813,0
1270,81.56873071,296.8283827,0.811453938,0
1280,81.57942626,296.86595669999997,0.8151170640000001,0
1290,81.58994049,296.9036422,0.818780189,0
1300,81.60027648,296.9414396,0.822443315,0
1310,81.61043726,296.9793493,0.82610644,0
1320,81.62042579999999,297.01737149999997,0.829769566,0
1330,81.63024501,297.0555068,0.833432691,0
