Model: gan_vae | Dataset: degradation | Device: cuda
Output: /home/ze.qian/workspace/aug_diagnosis/outputs/data_aug/degradation/gan_vae/gan_vae_degradation_5feat_netd_v6_20260528_144417

=== Training ===

--- VAE-GAN class: normal (29 windows) ---
Epoch [100/250] | D_loss: 0.436555 | G_loss: 2.555198 | Recon: 0.160175 | MeanMatch: 0.156616 | RandMeanMatch: 0.678097 | KL: 1229.043030
Epoch [110/250] | D_loss: 0.396643 | G_loss: 2.607389 | Recon: 0.125460 | MeanMatch: 0.174137 | RandMeanMatch: 0.713459 | KL: 881.088837
Epoch [120/250] | D_loss: 0.368653 | G_loss: 2.323172 | Recon: 0.108454 | MeanMatch: 0.146636 | RandMeanMatch: 0.576994 | KL: 753.752533
Epoch [130/250] | D_loss: 0.361427 | G_loss: 2.367312 | Recon: 0.096719 | MeanMatch: 0.125124 | RandMeanMatch: 0.602797 | KL: 750.427551
Epoch [140/250] | D_loss: 0.389289 | G_loss: 2.408784 | Recon: 0.088457 | MeanMatch: 0.126514 | RandMeanMatch: 0.658342 | KL: 689.534271
Epoch [150/250] | D_loss: 0.449462 | G_loss: 2.245528 | Recon: 0.089754 | MeanMatch: 0.157631 | RandMeanMatch: 0.604736 | KL: 654.416016
Epoch [160/250] | D_loss: 0.500403 | G_loss: 2.171146 | Recon: 0.080216 | MeanMatch: 0.117009 | RandMeanMatch: 0.608203 | KL: 629.941406
Epoch [170/250] | D_loss: 0.545031 | G_loss: 2.092086 | Recon: 0.079997 | MeanMatch: 0.129179 | RandMeanMatch: 0.629952 | KL: 608.243652
Epoch [180/250] | D_loss: 0.557268 | G_loss: 2.004489 | Recon: 0.080277 | MeanMatch: 0.149382 | RandMeanMatch: 0.688359 | KL: 590.715179
Epoch [190/250] | D_loss: 0.539921 | G_loss: 1.985456 | Recon: 0.082728 | MeanMatch: 0.145203 | RandMeanMatch: 0.647194 | KL: 564.871368
Epoch [200/250] | D_loss: 0.497619 | G_loss: 2.040301 | Recon: 0.085325 | MeanMatch: 0.157550 | RandMeanMatch: 0.665449 | KL: 435.726868
Epoch [210/250] | D_loss: 0.593613 | G_loss: 1.769195 | Recon: 0.078288 | MeanMatch: 0.147830 | RandMeanMatch: 0.539641 | KL: 390.733032
Epoch [220/250] | D_loss: 0.601073 | G_loss: 1.796993 | Recon: 0.074946 | MeanMatch: 0.139008 | RandMeanMatch: 0.665709 | KL: 388.414352
Epoch [230/250] | D_loss: 0.570263 | G_loss: 1.794333 | Recon: 0.074488 | MeanMatch: 0.135952 | RandMeanMatch: 0.630418 | KL: 368.159271
Epoch [240/250] | D_loss: 0.614733 | G_loss: 1.790602 | Recon: 0.074972 | MeanMatch: 0.130060 | RandMeanMatch: 0.647319 | KL: 360.558884
Epoch [250/250] | D_loss: 0.674452 | G_loss: 1.683066 | Recon: 0.071306 | MeanMatch: 0.109428 | RandMeanMatch: 0.662614 | KL: 363.617584

--- VAE-GAN class: bad_pixel_degradation (43 windows) ---
Epoch [ 10/250] | D_loss: 0.518085 | G_loss: 8.419815 | Recon: 0.636764 | MeanMatch: 3.401256 | RandMeanMatch: 3.465636 | KL: 11.634828
Epoch [ 20/250] | D_loss: 0.221209 | G_loss: 8.952807 | Recon: 0.606821 | MeanMatch: 3.216566 | RandMeanMatch: 3.429899 | KL: 29.363891
Epoch [ 30/250] | D_loss: 0.071871 | G_loss: 9.347839 | Recon: 0.520534 | MeanMatch: 2.645457 | RandMeanMatch: 3.352148 | KL: 81.307457
Epoch [ 40/250] | D_loss: 0.040906 | G_loss: 8.798288 | Recon: 0.414245 | MeanMatch: 1.491526 | RandMeanMatch: 3.453009 | KL: 209.238777
Epoch [ 50/250] | D_loss: 0.054995 | G_loss: 7.215610 | Recon: 0.406107 | MeanMatch: 0.365817 | RandMeanMatch: 3.137888 | KL: 396.816010
Epoch [ 60/250] | D_loss: 0.121741 | G_loss: 6.379148 | Recon: 0.424167 | MeanMatch: 0.180666 | RandMeanMatch: 3.084363 | KL: 600.286774
Epoch [ 70/250] | D_loss: 0.223591 | G_loss: 6.204748 | Recon: 0.330609 | MeanMatch: 0.132664 | RandMeanMatch: 3.400592 | KL: 836.711914
Epoch [ 80/250] | D_loss: 0.070912 | G_loss: 7.189347 | Recon: 0.273784 | MeanMatch: 0.422244 | RandMeanMatch: 3.168236 | KL: 1046.592773
Epoch [ 90/250] | D_loss: 0.104607 | G_loss: 7.097889 | Recon: 0.214898 | MeanMatch: 0.631275 | RandMeanMatch: 3.043839 | KL: 1142.542847
Epoch [100/250] | D_loss: 0.393365 | G_loss: 5.761246 | Recon: 0.221852 | MeanMatch: 0.775489 | RandMeanMatch: 2.879625 | KL: 1104.422729
Epoch [110/250] | D_loss: 0.313216 | G_loss: 5.839807 | Recon: 0.234005 | MeanMatch: 0.694578 | RandMeanMatch: 2.893874 | KL: 1002.032104
Epoch [120/250] | D_loss: 0.079033 | G_loss: 6.818955 | Recon: 0.156004 | MeanMatch: 0.216387 | RandMeanMatch: 2.785223 | KL: 991.122192
Epoch [130/250] | D_loss: 0.075672 | G_loss: 6.741971 | Recon: 0.143525 | MeanMatch: 0.092002 | RandMeanMatch: 3.018678 | KL: 606.755463
Epoch [140/250] | D_loss: 0.128479 | G_loss: 5.792300 | Recon: 0.149110 | MeanMatch: 0.146297 | RandMeanMatch: 2.991531 | KL: 324.663727
Epoch [150/250] | D_loss: 0.249258 | G_loss: 5.472311 | Recon: 0.172806 | MeanMatch: 0.262964 | RandMeanMatch: 3.042384 | KL: 333.189880
Epoch [160/250] | D_loss: 0.281800 | G_loss: 4.824119 | Recon: 0.137411 | MeanMatch: 0.122260 | RandMeanMatch: 2.778416 | KL: 471.851547
